"","symbol","company","exchange","date.x","price","currency","actions","date.y","open","close","adjusted","returns","year"
"870","601000.SS","Tangshan Port Group Co Ltd","Shanghai",2010-07-05,8.2,"CNY","Priced",2010-07-05,1.89934,1.87085,1.415211,-0.77184756097561,2010
"871","WAF.AX","West African Resources Ltd","ASX",2010-06-11,0.2,"AUD","Priced",2010-06-11,0.22,0.24,0.24,0.2,2010
"872","1633.HK","Magic Holdings Intl Ltd","HKSE",2010-09-24,3.3,"HKD","Priced",2010-09-29,3.91667,3.775,3.69906,0.143939393939394,2010
"873","1733.HK","Winsway Coking Coal Hldg Ltd","HKSE",2010-10-11,3.7,"HKD","Priced",2010-10-11,45,42.25,34.632797,10.4189189189189,2010
"874","TPE.WA","TAURON Polska Energia SA","Warsaw",2010-06-30,0.57,"PLN","Priced",2010-06-30,5.13,5.05,3.929296,7.85964912280702,2010
"875","2128.HK","China Liansu Group Holdings","HKSE",2010-06-23,2.6,"HKD","Priced",2010-06-23,2.57,2.61,2.061844,0.00384615384615383,2010
"876","4919.TW","Nuvoton Technology Corp","Taiwan",2010-09-27,50,"TWD","Priced",2010-09-27,65,59,38.25338,0.18,2010
"877","8337.HK","Directel Holdings Ltd","HKSE",2010-06-02,0.3,"HKD","Priced",2010-06-02,0.16667,0.125,0.125,-0.583333333333333,2010
"878","M1GU.SI","Sabana REIT","SES",2010-11-26,1.05,"SGD","Priced",2010-11-26,0.86506,0.89128,0.430307,-0.151161904761905,2010
"879","1020.HK","Sinoref Holdings Ltd","HKSE",2010-07-07,0.76,"HKD","Priced",2010-07-07,0.78,0.71,0.677588,-0.0657894736842106,2010
"880","BBN","BlackRock Build America Bond","NYSE",2010-08-27,20,"USD","Priced",2010-08-30,20,20,11.065405,0,2010
"881","8215.TW","BenQ Materials Corp","Taiwan",2010-11-12,23,"TWD","Priced",2007-12-31,28.1343,27.413401,22.041365,0.191887,2010
